dataset,method,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,k,search_param,rerank,suite,metric,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,distance_time_ms,graph_degree,build_ef,query_count,candidate_size,unique_candidate_count,distance_calls,mean_relative_error,p95_relative_error,mean_ip_relative_error,p95_ip_relative_error,mean_absolute_error,threads,top10_overlap,pairwise_flip_rate_top100,repeat_id,git_commit
dbpedia,PQ,0.9541,152.187,6570.84,4855.03,14581.5,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,768,725.191,1577.4,63310.6,56058.7,7251.94,65708.4,0,0,10000,1000,981124,1e+07,0.00967261,0.0204994,0.00284208,0.00590922,0.00375935,1,0.9541,0.0513978,0,a424dcb809fd725c44dd976d9063febd4837d16a
dbpedia,SQ,0.93929,143.874,6950.5,6933.35,7073.53,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,768,725.109,1864.32,6856.55,309.184,6547.37,69505,0,0,10000,1000,981124,1e+07,0.0273372,0.0428847,0.0140246,0.0219641,0.0102599,1,0.93929,0.0655179,0,a424dcb809fd725c44dd976d9063febd4837d16a
dbpedia,Ours_RaBitQ_K1,0.95019,753.797,1326.62,1318.77,1397.16,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,2585,2440.61,3276.59,887687,0,887687,13266.2,0,0,10000,1000,981124,1e+07,0.00606678,0.0148357,0.00143412,0.0035344,0.00230989,1,0.95019,0.0536164,0,a424dcb809fd725c44dd976d9063febd4837d16a
dbpedia,SAQ_B4,0.99054,160.787,6219.41,6221.02,6931.7,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,768,851.459,0,0,0,0,62194.1,0,0,10000,1000,981124,1e+07,0.000816739,0.00206407,0.000308817,1,0.99054,0.00908893,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107,,
