method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
SymphonyQG-DiskPort,4.0,160,1,0.9968749999999997,73.8300373282869,54.0425,216.17,885432.32,330986.4668325,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,240,1,0.9973749999999998,57.9051621198745,71.82875,287.315,1176842.24,444346.06185625005,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,400,1,0.9988749999999998,41.82792802124829,101.9375,407.75,1670144,649056.9608924999,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,580,1,0.9989999999999998,33.001855833085045,130.78625,523.145,2142801.92,848049.5851750001,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,10,1,0.9003749999999954,121.21516659625448,634.7925,634.7925,2600110.08,60505.56691749996,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,20,1,0.9264999999999955,107.183584900212,883.1025,883.1025,3617187.84,100467.0163975,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,40,1,0.9383749999999951,80.90704970283547,1352.4175,1352.4175,5539502.08,205886.80067500018,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,60,1,0.9417499999999951,63.775997767110475,1794.78,1794.78,7351418.88,311817.4269462502,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,100,1,0.942749999999995,44.2576185985214,2645.00875,2645.00875,10833955.84,526786.6114587506,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,160,1,0.9448749999999948,30.948360740609587,3844.38875,3844.38875,15746616.32,844387.7848937502,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,240,1,0.9448749999999948,22.31648538896784,5357.06375,5357.06375,21942533.12,1236124.119863751,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,400,1,0.9448749999999948,14.592756520504023,8223.4625,8223.4625,33683302.4,1988515.1169425014,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,580,1,0.9448749999999948,10.72471461695141,11237.25,11237.25,46027776,2773014.368741253,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,10,4,0.9621249999999973,2913.5910086756285,27.56,27.56,112885.76,10583.58131625,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,20,4,0.985624999999999,3467.2667395867534,43.5325,43.5325,178309.12,8853.98301374999,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,40,4,0.9934999999999995,2491.048805344371,77.2925,77.2925,316590.08,12315.977153749993,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,60,4,0.9961249999999997,1821.32214596526,112.11,112.11,459202.56,17141.465822499988,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,100,4,0.9972499999999996,1163.7199771283056,182.2725,182.2725,746588.16,27037.446858749987,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,160,4,0.9983749999999998,744.3761338633859,287.9025,287.9025,1179248.64,42367.47376500003,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,240,4,0.9988749999999998,500.0040212823412,428.6625,428.6625,1755801.6,63016.44179749995,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,400,4,0.9989999999999999,302.8700246721405,709.895,709.895,2907729.92,104049.5969237501,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,580,4,0.9991249999999998,210.4052506569284,1026.16,1026.16,4203151.36,150677.82480374986,1057263616,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
