method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
SymphonyQG-DiskPort,4.0,100,1,0.8942111111110823,50.38063454051311,50.02511111111111,300.04066666666665,1228966.5706666666,539199.8078313338,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,160,1,0.9097444444444159,35.66701349602822,71.58644444444444,429.33577777777776,1758559.3457777777,804369.898184889,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,240,1,0.9205666666666387,26.673003014693172,98.32155555555556,589.6615555555555,2415253.7315555555,1105885.6953225548,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,400,1,0.932022222222193,17.93157554712371,148.21122222222223,888.8364444444444,3640674.0764444442,1688262.0134398881,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,580,1,0.9395666666666366,13.306566066435638,199.88688888888888,1198.7046666666668,4909894.314666667,2303434.64308589,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,10,1,0.8449444444444131,119.1301902972325,751.22,751.22,3076997.12,77389.65635599982,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,20,1,0.8978777777777339,95.45217766189677,1073.3234444444445,1073.3234444444445,4396332.828444445,147117.00811222245,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,40,1,0.9228111111110583,66.45913670931569,1653.1057777777778,1653.1057777777778,6771121.265777778,300607.40236288856,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,60,1,0.9304111111110555,51.08300445449906,2188.7292222222222,2188.7292222222222,8965034.894222222,444671.5901059993,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,100,1,0.9350666666666091,35.609427790989066,3178.3957777777778,3178.3957777777778,13018709.105777778,721751.3395318905,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
