dataset,method,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,k,search_param,rerank,suite,metric,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,distance_time_ms,graph_degree,build_ef,query_count,candidate_size,unique_candidate_count,distance_calls,mean_relative_error,p95_relative_error,mean_ip_relative_error,p95_ip_relative_error,mean_absolute_error,threads,top10_overlap,pairwise_flip_rate_top100,repeat_id,git_commit
gist,PQ,0.8615,312.27,3202.36,3020.49,3329.78,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,480,457.822,618.445,85752.9,82441.2,3311.69,3202.36,0,0,1000,1000,380825,1e+06,0.00988483,0.0252592,0.00634836,0.0130717,0.0176994,1,0.8615,0.117307,0,a424dcb809fd725c44dd976d9063febd4837d16a
gist,SQ,0.6718,234.98,4255.68,4251.84,4307.34,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,480,457.771,637.082,1570.11,192.816,1377.3,4255.68,0,0,1000,1000,380825,1e+06,0.124692,0.249139,0.0158057,0.0382786,0.164958,1,0.6718,0.231835,0,a424dcb809fd725c44dd976d9063febd4837d16a
gist,Ours_RaBitQ_K1,0.8552,1280.77,780.78,786.578,855.536,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,1305,1244.56,917.41,154438,0,154438,780.78,0,0,1000,1000,380825,1e+06,0.00934347,0.0234772,0.00149467,0.00374386,0.015148,1,0.8552,0.124886,0,a424dcb809fd725c44dd976d9063febd4837d16a
gist,SAQ_B4,0.9832,164.92,6063.56,5503.55,9461.81,10,fixed_candidates_k1000,none,01_quantizer_fair,L2,4,480,570.186,0,0,0,0,6063.56,0,0,1000,1000,380825,1e+06,0.000734574,0.00193215,0.0012435,1,0.9832,0.0134317,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107,,
