suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,80,0.9829,2313.04,432.331,385.962,413.487,80000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,90,0.9831,2204.13,453.694,429.287,458.512,90000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,100,0.983,1885.53,530.355,484.787,516.396,100000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,140,0.9832,1441.79,693.583,670.823,711.761,140000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,180,0.9834,1134.52,881.432,860.317,910.899,180000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,1000,0.9832,204.433,4891.58,4809.21,5062.16,1e+06,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,220,0.9832,896.207,1115.81,1054.68,1120,220000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,260,0.9831,781.524,1279.55,1242.83,1313.77,260000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,300,0.983,671.396,1489.43,1434.29,1516.68,300000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,340,0.983,602.039,1661.02,1628.59,1724.81,340000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,380,0.9832,535.766,1866.49,1816.12,1921,380000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,420,0.983,481.218,2078.06,2029.35,2153.59,420000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,460,0.9833,435.903,2294.09,2227.17,2449.11,460000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,1000,0.9832,164.92,6063.56,5503.55,9461.81,1e+06,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
