dataset,target_recall,method,status,config_id,search_param,search_width,effective_search_width,ablation,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,index_size_mb,resident_bytes,peak_rss_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_row,qps_units,p95_ms,read_mib,formal_ready,workers,cache_mode,repeat_id,source_run_id,binary_sha256,query_split_sha256,max_measured_recall
gist,0.95,SymphonyQG-DiskPort,measured,QG_R64_EF400_t3,ef=140,140,,,1,0.957375,21.1439,1427050.0,1487900.0,1863350.0,2017330.0,15625,8192,161439744,110.868,443.47,1816450.0,1423250.0,1426970.0,73.9788,1426970.0,8.77202,110.868,110.868,,,,,,,800,37,queries/s,1863.35,1.7323017120361328,False,32,c0,0,native_integration_optimized_queue,ddb2671e28b68a35ed366acbf8411ddcdf506db63f982842299aea0b9433bd5c,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,
gist,0.95,OG-LVQ-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905625
gist,0.95,Glass-NSG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796625
gist,0.99,Ours-Disk,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9865
gist,0.99,DiskANN-PQ-Disk,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9788749999999979
gist,0.99,SymphonyQG-DiskPort,measured,QG_R64_EF400_t3,ef=420,420,,,1,0.990125,8.61327,3605200.0,3815470.0,4800560.0,5043960.0,15625,8192,167161856,272.043,1088.17,4457140.0,3599080.0,3605130.0,57.0543,3605130.0,7.43296,272.043,272.043,,,,,,,800,44,queries/s,4800.56,4.250659942626953,False,32,c0,0,native_integration_optimized_queue,ddb2671e28b68a35ed366acbf8411ddcdf506db63f982842299aea0b9433bd5c,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,
gist,0.99,OG-LVQ-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905625
gist,0.99,Glass-NSG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796625
dbpedia,0.95,Ours-Disk,measured,beam1,23,23,23,db1+coalescing+reuse,1,0.951811111111,49.678501919,643340.875962776,611022.699,1130099.595,1392537.834,3487.021252632,277206144,747388928,258.509666667,341.659111111,1399435.719111111,637476.423911886,312.346907,169.611232333,639.446076667,1238.160955556,1308.764555556,392.562444444,1307.764555556,391.562444444,392.562444444,319.117888889,23.0,22.541222222,9000,13,queries/s,1130.099595,1.3346059027777777,False,32,c0,0,native_integration_optimized_queue,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,51f0ad0cdf59b3f1b0db53716616a833ce8557449651856253c2b6c1a5960dec,
dbpedia,0.95,DiskANN-PQ-Disk,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,0.95,SymphonyQG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939567
dbpedia,0.95,OG-LVQ-DiskPort,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,0.95,Glass-NSG-DiskPort,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,0.99,Ours-Disk,measured,beam1,180,180,180,db1+coalescing+reuse,1,0.990055555556,13.010494913,2457385.654295667,2360352.674,4040695.073,4813719.918000001,3487.021252632,277206144,747388928,882.301111111,988.779333333,4050040.149333333,2441988.789941545,918.100497111,170.248548,2370.530188556,5320.017461,5253.608333333,1020.855555556,5252.608333333,1019.855555556,1020.855555556,893.433111111,100.0,95.248222222,9000,29,queries/s,4040.695073,3.862419270833333,False,32,c0,0,native_integration_optimized_queue,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,51f0ad0cdf59b3f1b0db53716616a833ce8557449651856253c2b6c1a5960dec,
dbpedia,0.99,DiskANN-PQ-Disk,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,0.99,SymphonyQG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939567
dbpedia,0.99,OG-LVQ-DiskPort,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbpedia,0.99,Glass-NSG-DiskPort,unmeasured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
