config_id,search_param,search_width,effective_search_width,ablation,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,index_size_mb,resident_bytes,peak_rss_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,dataset,method,source_row,qps_units,p95_ms,read_mib,formal_ready,workers,cache_mode,repeat_id,source_run_id,binary_sha256,query_split_sha256
beam1,20,20,20,db1+coalescing+reuse,1,0.97775,428.093521782,73830.28484375,73950.224,97805.558,119742.0,1363.786890984,116950160,566366208,239.07375,285.23625,1168327.68,55624.86535375,607.92593125,86.2329575,614.742555,5268.07483875,1048.92125,385.65625,1047.92125,384.65625,385.65625,265.985,20.0,19.25125,800,agnews,Ours-Disk,10,queries/s,97.805558,1.1142041015625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,21,21,21,db1+coalescing+reuse,1,0.97875,455.280315518,69626.58445125,69450.777,93347.99,103542.731,1363.786890984,116950160,566366208,245.335,291.81,1195253.76,59054.0232525,386.65736625,85.58936375,475.05275125,4381.15329875,1076.3625,392.535,1075.3625,391.535,392.535,271.62875,21.0,20.18125,800,agnews,Ours-Disk,11,queries/s,93.34799000000001,1.1398828125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,22,22,22,db1+coalescing+reuse,1,0.979625,444.788594183,71448.30921375,71082.573,97709.204,111114.763,1363.786890984,116950160,566366208,251.54625,298.30125,1221841.92,60624.96478375,394.83394625,79.22522,479.97120875,4568.13767125,1103.6075,399.2925,1102.6075,398.2925,399.2925,277.195,22.0,21.10625,800,agnews,Ours-Disk,12,queries/s,97.709204,1.1652392578125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,23,23,23,db1+coalescing+reuse,1,0.980125,426.394453946,74577.542755,74733.89,99406.919,115494.753,1363.786890984,116950160,566366208,257.54,304.575,1247539.2,62074.080335,448.176225,84.10861125,517.99986125,4915.103695,1130.6925,405.84625,1129.6925,404.84625,405.84625,282.53875,23.0,22.03625,800,agnews,Ours-Disk,13,queries/s,99.40691899999999,1.18974609375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,24,24,24,db1+coalescing+reuse,1,0.981125,412.480422197,77059.9556125,76977.158,100508.748,123933.543,1363.786890984,116950160,566366208,263.67375,310.965,1273712.64,63349.41463625,498.85324375,84.41715875,549.26951125,5204.21476,1157.78875,412.44375,1156.78875,411.44375,412.44375,287.99,24.0,22.975,800,agnews,Ours-Disk,14,queries/s,100.50874800000001,1.21470703125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,25,25,25,db1+coalescing+reuse,1,0.98175,412.61164471,76572.3304875,74961.693,104755.598,116308.724,1363.786890984,116950160,566366208,269.52875,317.06375,1298693.12,67175.4136325,350.09202375,79.49306875,473.79239,4740.398285,1184.2725,418.6425,1183.2725,417.6425,418.6425,293.1575,25.0,23.90625,800,agnews,Ours-Disk,15,queries/s,104.75559799999999,1.2385302734375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,26,26,26,db1+coalescing+reuse,1,0.98225,379.445061285,83685.59105125,82444.284,118690.153,134394.611,1363.786890984,116950160,566366208,275.19,322.945,1322782.72,62983.46230625,717.72087125,88.30652625,841.4923675,6460.65330375,1211.10875,424.70875,1210.10875,423.70875,424.70875,298.1225,26.0,24.8225,800,agnews,Ours-Disk,16,queries/s,118.69015300000001,1.26150390625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,27,27,27,db1+coalescing+reuse,1,0.982875,352.508621591,90348.16279875,89643.245,121029.36,143932.265,1363.786890984,116950160,566366208,280.89375,328.8875,1347123.2,63901.68310125,877.6911625,98.988845,975.18279,7510.44580875,1238.88125,430.77625,1237.88125,429.77625,430.77625,303.13,27.0,25.7575,800,agnews,Ours-Disk,17,queries/s,121.02936,1.284716796875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,28,28,28,db1+coalescing+reuse,1,0.983375,400.977726847,79230.7091575,78640.211,107476.508,121815.963,1363.786890984,116950160,566366208,286.4325,334.66,1370767.36,71880.70513875,300.957275,81.3595825,447.1632075,4628.7837525,1265.66875,436.605,1264.66875,435.605,436.605,307.98375,28.0,26.67625,800,agnews,Ours-Disk,18,queries/s,107.476508,1.307265625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,29,29,29,db1+coalescing+reuse,1,0.983875,394.726815849,80671.3283175,80540.686,108481.676,118012.44,1363.786890984,116950160,566366208,292.225,340.66875,1395379.2,73990.5152575,278.60630875,76.2317375,434.57862125,4656.86182625,1292.15125,442.68,1291.15125,441.68,442.68,313.0725,29.0,27.59625,800,agnews,Ours-Disk,19,queries/s,108.48167600000001,1.3307373046875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,30,30,30,db1+coalescing+reuse,1,0.984,366.732892148,86876.46454875,87119.618,114382.844,132091.564,1363.786890984,116950160,566366208,297.455,346.07125,1417507.84,71258.142195,572.47720125,82.3582375,616.5157875,6362.28665,1317.64625,448.11,1316.64625,447.11,448.11,317.5675,30.0,28.50375,800,agnews,Ours-Disk,20,queries/s,114.38284399999999,1.3518408203125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,40,40,40,db1+coalescing+reuse,1,0.986875,302.287070954,105087.08486375,103865.727,144113.501,165282.126,1363.786890984,116950160,566366208,348.82125,399.455,1636167.68,82378.05574375,868.19454875,83.39365,803.6544225,9306.07392,1576.33875,500.87875,1575.33875,499.87875,500.87875,361.82375,40.0,37.63125,800,agnews,Ours-Disk,21,queries/s,144.11350099999999,1.56037109375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,50,50,50,db1+coalescing+reuse,1,0.989125,259.293532258,122655.802795,120995.14,169158.886,202716.27,1363.786890984,116950160,566366208,395.81875,448.295,1836216.32,93831.35626875,1077.96264875,90.9323775,1216.7064325,12303.60455625,1824.60375,548.33125,1823.60375,547.33125,548.33125,401.67375,50.0,46.62125,800,agnews,Ours-Disk,22,queries/s,169.158886,1.75115234375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,60,60,60,db1+coalescing+reuse,1,0.991,224.130480401,141414.67186125,136857.558,201465.126,234182.992,1363.786890984,116950160,566366208,440.27375,494.47125,2025354.24,103777.2093325,1427.9140575,101.43507375,1514.87127625,15334.648755,2068.5625,592.41375,2067.5625,591.41375,592.41375,438.96625,60.0,55.505,800,agnews,Ours-Disk,23,queries/s,201.465126,1.9315283203125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,70,70,70,db1+coalescing+reuse,1,0.991625,215.627335167,147278.907985,145863.157,206479.124,234228.843,1363.786890984,116950160,566366208,482.4875,538.3,2204876.8,119006.47587,1145.2487275,90.64297625,1209.12320125,14491.65890625,2308.23625,633.6825,2307.23625,632.6825,633.6825,473.91875,70.0,64.38125,800,agnews,Ours-Disk,24,queries/s,206.479124,2.102734375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,80,80,80,db1+coalescing+reuse,1,0.992125,187.341726889,169829.69284125,167506.025,233394.547,271277.007,1363.786890984,116950160,566366208,523.09625,580.58375,2378071.04,126983.92716,1738.67545,103.23830125,1703.13368875,20988.4347275,2539.5425,673.21625,2538.5425,672.21625,673.21625,507.45,80.0,73.13375,800,agnews,Ours-Disk,25,queries/s,233.394547,2.2679052734375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,90,90,90,db1+coalescing+reuse,1,0.99225,175.352026657,180782.62453875,177065.928,257372.453,290065.086,1363.786890984,116950160,566366208,563.0275,622.20875,2548567.04,139030.403515,1733.4261775,98.62574875,1674.49527,22129.6643575,2768.1,712.32,2767.1,711.32,712.32,540.3625,90.0,81.84625,800,agnews,Ours-Disk,26,queries/s,257.372453,2.4305029296875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,100,100,100,db1+coalescing+reuse,1,0.992625,167.721428469,189675.0632575,186422.112,271177.733,322141.112,1363.786890984,116950160,566366208,601.70875,662.6,2714009.6,150344.19012125,1705.47284375,94.12632875,1565.7671575,22183.1266325,2991.68125,749.9925,2990.68125,748.9925,749.9925,572.08125,100.0,90.51875,800,agnews,Ours-Disk,27,queries/s,271.177733,2.58828125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,140,140,140,db1+coalescing+reuse,1,0.99375,152.579108555,208331.32333625,202895.908,305516.263,354350.638,1363.786890984,116950160,566366208,723.645,786.12625,3219973.12,180703.33978125,1478.5320725,84.24089875,1769.71147625,13176.96840875,3858.26625,897.37125,3857.26625,896.37125,897.37125,695.5525,100.0,90.56375,800,agnews,Ours-Disk,28,queries/s,305.516263,3.0708056640625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,180,180,180,db1+coalescing+reuse,1,0.993875,120.205605239,263967.547305,256554.209,394953.167,449622.692,1363.786890984,116950160,566366208,840.3025,904.18875,3703557.12,204628.74438875,3018.7323025,97.5390625,2484.9465575,20850.616995,4683.37125,1039.75375,4682.37125,1038.75375,1039.75375,813.3075,100.0,90.70875,800,agnews,Ours-Disk,29,queries/s,394.953167,3.5319873046875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,220,220,220,db1+coalescing+reuse,1,0.994375,102.3121108,310381.617115,300261.439,462564.872,528639.955,1363.786890984,116950160,566366208,956.16125,1021.3475,4183439.36,230835.4776725,4232.58709125,104.602835,2879.442585,23230.320835,5480.40375,1180.9075,5479.40375,1179.9075,1180.9075,929.075,100.0,91.1775,800,agnews,Ours-Disk,30,queries/s,462.564872,3.989638671875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,260,260,260,db1+coalescing+reuse,1,0.994375,91.609991028,346175.11398875,339028.657,515587.024,582620.242,1363.786890984,116950160,566366208,1074.06,1140.48375,4671421.44,258144.30312875,4824.654635,105.15964875,3213.45008875,22784.0170325,6256.46875,1321.74875,6255.46875,1320.74875,1321.74875,1044.11,100.0,92.2025,800,agnews,Ours-Disk,31,queries/s,515.5870239999999,4.4550146484375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,300,300,300,db1+coalescing+reuse,1,0.994375,84.970381835,373814.6226125,357643.738,567298.611,637912.692,1363.786890984,116950160,566366208,1196.44375,1264.07375,5177646.08,290940.85369125,4866.22595125,104.40100375,3661.3168275,19514.6658725,7018.39125,1462.385,7017.39125,1461.385,1462.385,1158.79,100.0,94.09625,800,agnews,Ours-Disk,32,queries/s,567.298611,4.9377880859375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
