method,config,recall_range,max_recall,qps@0.90,p95us@0.90,qps@0.93,p95us@0.93,qps@0.95,p95us@0.95,build_time_ms,index_size_mb,peak_rss_mb
Glass-NSG,R64_L400,0.815..0.940,0.9400,4492.3,322.8,2139.3,713.9,—,—,403343,241.7,13086.8
OG-LVQ,LVQ4_R64_W400,0.874..0.952,0.9516,3307.0,392.3,1831.4,656.4,342.3,3180.3,492825,979.1,1087.8
Ours,OursDiskANN_M64,0.879..0.994,0.9935,1872.4,642.5,1647.1,728.7,1398.0,861.6,328296,2702.0,12879.7
SymphonyQG,R64_EF400_t3,0.570..0.880,0.8796,—,—,—,—,—,—,679986,22236.3,22354.1
