method,config,recall_range,max_recall,qps@0.90,p95us@0.90,qps@0.93,p95us@0.93,qps@0.95,p95us@0.95,build_time_ms,index_size_mb,peak_rss_mb
Glass-NSG,R64_L400,0.878..0.945,0.9453,12895.4,120.9,7888.7,195.1,—,—,169456,187.8,6796.4
OG-LVQ,LVQ4_R64_W400,0.919..0.953,0.9529,7299.0,174.6,6110.1,195.1,1835.5,1056.1,215371,573.1,616.0
Ours,OursDiskANN_M64,0.931..0.994,0.9942,1774.5,890.5,1774.5,890.5,3154.5,411.8,147495,1153.1,6961.5
SymphonyQG,R64_EF400_t3,0.693..1.000,0.9998,20283.6,64.9,18854.9,70.4,17537.2,76.2,184417,9767.5,9804.5
