suite,dataset,method,config_id,search_param,repeat_id,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,build_time_ms,index_size_mb,peak_rss_mb,query_count,k,metric,threads,git_commit,implementation,raw_log,notes,n_repeats
03_system_fair,agnews,Glass-NSG,R64_L400,ef=23,median,0.924875,9301.122206805174,107.5139082968235,103.25387120246887,162.60370612144467,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=24,median,0.92575,9040.592963009864,110.61221361160278,105.95284402370453,169.29954290390015,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=25,median,0.92725,8862.9693530012,112.82900348305702,107.23806917667389,173.7372949719429,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=26,median,0.92775,8583.000214466729,116.50937609374523,111.55381798744202,178.88881266117087,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=27,median,0.92825,8350.745848801937,119.74978260695934,114.14662003517151,183.97700041532514,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=28,median,0.928875,8138.232726957428,122.87680059671402,117.55898594856262,189.03780728578565,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=29,median,0.9295,7947.541783478225,125.82506984472275,120.15365064144135,193.04361194372174,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=30,median,0.931125,7756.459294387629,128.92480473965406,122.74086475372314,199.72398877143857,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=40,median,0.937,6223.785701906362,160.67391261458397,152.07752585411072,246.315449476242,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,agnews,Glass-NSG,R64_L400,ef=50,median,0.93875,5253.567598321908,190.34684170037508,180.97646534442902,298.54774475097656,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
