suite,dataset,method,config_id,search_param,repeat_id,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,build_time_ms,index_size_mb,peak_rss_mb,query_count,k,metric,threads,git_commit,implementation,raw_log,notes,n_repeats,interp,recall_target
03_system_fair,agnews,Glass-NSG,R64_L400,ef=10,median,0.9,12895.4097,77.5532,78.93890142440796,120.8844,169455.92214539647,187.83741760253906,6796.421875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1,linear,0.9
03_system_fair,agnews,OG-LVQ,LVQ4_R64_W400,W=10,median,0.91875,7298.9611944162025,137.0057975873351,132.97982513904572,174.61683601140973,215370.968028903,573.0592041015625,615.5,800,10,L2,64,not-a-git-repo,official Intel SVS python bindings (Vamana + LVQ),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/OG-LVQ/OG-LVQ.log,,1,best_available,0.9
03_system_fair,agnews,OG-LVQ,LVQ4_R64_W400,W=10,median,0.95,1835.4758,559.9069,132.97982513904572,1056.1142,215370.968028903,573.0592041015625,615.5,800,10,L2,64,not-a-git-repo,official Intel SVS python bindings (Vamana + LVQ),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/OG-LVQ/OG-LVQ.log,,1,linear,0.95
03_system_fair,agnews,Ours,OursDiskANN_M64,L_search=10,median,0.93175,4325.141612,230.850228,0.0,286.38,147495.499123,1153.073114,6961.503906,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/agnews/logs/Ours/Ours.log,,1,best_available,0.9
03_system_fair,agnews,Ours,OursDiskANN_M64,L_search=10,median,0.95,4360.3949,229.8243,0.0,284.5271,147495.499123,1153.073114,6961.503906,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/agnews/logs/Ours/Ours.log,,1,linear,0.95
03_system_fair,agnews,Ours,OursDiskANN_M64,L_search=10,median,0.97,3800.2035,262.8707,0.0,334.0235,147495.499123,1153.073114,6961.503906,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/agnews/logs/Ours/Ours.log,,1,linear,0.97
03_system_fair,agnews,SymphonyQG,R64_EF400_t3,ef=10,median,0.9,20283.572,49.3085,36.502256989479065,64.8683,184417.47703403234,9767.548831939697,9804.16796875,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.9
03_system_fair,agnews,SymphonyQG,R64_EF400_t3,ef=10,median,0.95,17537.1703,57.0235,36.502256989479065,76.1644,184417.47703403234,9767.548831939697,9804.16796875,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.95
03_system_fair,agnews,SymphonyQG,R64_EF400_t3,ef=10,median,0.97,15162.0577,66.5498,36.502256989479065,89.3025,184417.47703403234,9767.548831939697,9804.16796875,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/agnews/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.97
