suite,dataset,method,config_id,search_param,repeat_id,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,build_time_ms,index_size_mb,peak_rss_mb,query_count,k,metric,threads,git_commit,implementation,raw_log,notes,n_repeats,interp,recall_target
03_system_fair,gist,OG-LVQ,LVQ4_R64_W400,W=10,median,0.9,629.4749,1593.1827,145.14289796352386,1663.4834,300327.52553373575,744.8277759552002,786.78515625,800,10,L2,64,not-a-git-repo,official Intel SVS python bindings (Vamana + LVQ),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/OG-LVQ/OG-LVQ.log,,1,linear,0.9
03_system_fair,gist,Ours,OursDiskANN_M64,L_search=10,median,0.9,1354.45,741.1184,0.0,909.1845,151988.430029,1452.032345,8559.832031,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/gist/logs/Ours/Ours.log,,1,linear,0.9
03_system_fair,gist,Ours,OursDiskANN_M64,L_search=10,median,0.95,844.79,1184.9798,0.0,1423.2191,151988.430029,1452.032345,8559.832031,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/gist/logs/Ours/Ours.log,,1,linear,0.95
03_system_fair,gist,Ours,OursDiskANN_M64,L_search=10,median,0.97,657.5521,1523.1694,0.0,1820.2907,151988.430029,1452.032345,8559.832031,800,10,L2,1,not-a-git-repo,"Ours-DiskANN (DiskANN3 + ExRaBitQ4 symmetric Vamana, paper-prune, DB=1-bit/INT8-query coarse gate, residual4 rerank); M=32 and M=64 configs, centroid_count K=1",/home/kai3/coco/quantization_graph/results/03_system_fair/gist/logs/Ours/Ours.log,,1,linear,0.97
03_system_fair,gist,SymphonyQG,R64_EF400_t3,ef=10,median,0.9,6954.5198,143.8249,39.80100154876709,174.7416,246433.4650374949,12451.175785064697,12487.6015625,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.9
03_system_fair,gist,SymphonyQG,R64_EF400_t3,ef=10,median,0.95,4219.8085,239.6182,39.80100154876709,289.7144,246433.4650374949,12451.175785064697,12487.6015625,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.95
03_system_fair,gist,SymphonyQG,R64_EF400_t3,ef=10,median,0.97,2823.5039,355.4796,39.80100154876709,435.6626,246433.4650374949,12451.175785064697,12487.6015625,800,10,L2,64,not-a-git-repo,official SymphonyQG python binding (QG index),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/SymphonyQG/SymphonyQG.log,,1,linear,0.97
