suite,dataset,method,config_id,search_param,repeat_id,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,build_time_ms,index_size_mb,peak_rss_mb,query_count,k,metric,threads,git_commit,implementation,raw_log,notes,n_repeats
03_system_fair,gist,Glass-NSG,R64_L400,ef=24,median,0.592375,6638.491985277552,150.63662081956863,149.37110245227814,206.96539431810376,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=25,median,0.5985,6454.443881632022,154.93201557546854,154.27730977535248,211.8116244673729,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=26,median,0.605,6269.757800988402,159.49579421430826,158.54835510253906,218.98131817579267,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=27,median,0.610375,6102.169791815966,163.87613490223885,164.6578311920166,220.867246389389,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=28,median,0.615625,5959.591932879526,167.79672354459763,168.54144632816315,227.51688957214355,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=29,median,0.62175,5795.223361078115,172.55590297281742,171.93518579006195,234.48541760444638,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=30,median,0.626625,5638.090309268477,177.3650199174881,178.85491251945496,238.1250262260437,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=40,median,0.659875,4587.49869209897,217.98371337354183,221.1388200521469,289.41258788108826,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=50,median,0.6865,3889.1407481608344,257.12620466947556,261.65880262851715,339.49892967939377,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
03_system_fair,gist,Glass-NSG,R64_L400,ef=60,median,0.707625,3373.6686542007287,296.413223259151,304.9522638320923,393.4115171432495,375710.6995731592,244.14064025878906,8275.171875,800,10,L2,64,not-a-git-repo,official pyglass 2.1.0 (NSG + SQ4U quantized search),/home/kai3/coco/quantization_graph/results/round2/gist/raw/03_system_fair/Glass-NSG/Glass-NSG.log,,1
