layer,dataset,method,storage_mode,phase,run_id,repeat_id,workers,search_dram_budget_gib,config_id,search_param,search_width,ablation,cache_mode,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,fixed_candidate_recall_at_10,mean_relative_error,p95_relative_error,pairwise_flip_rate,index_size_mb,resident_bytes,cache_bytes,cache_nodes,peak_rss_bytes,ours_4bit_payload_bytes,ours_8bit_payload_bytes,ours_adjacency_bytes,ours_fp32_base_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_suite,source_kernel,implementation_fingerprint,native_binary_sha256,input_manifest_sha256,source_index_manifest_sha256,query_split_sha256,query_order_sha256,query_order_seed,shared_graph_sha256,source_graph_sha256,graph_role,direct_io,native_aio,page_size,formal_ready,artifact_path,implementation_parity,git_commit,method_display
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=300,300,,standard,1,0.953,5.38734,5705700.0,5641980.0,8171160.0,9046440.0,,,,,629.711,8208,,,12304,,,,,7611.91,7611.91,31178400.0,5530920.0,5705700.0,0.14809,5705700.0,0.0,303.123,7307.78,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=340,340,,standard,1,0.953,4.75289,6493560.0,6329560.0,9450160.0,10402700.0,,,,,629.711,8208,,,12304,,,,,8442.69,8442.69,34581200.0,6286700.0,6493560.0,0.148056,6493560.0,0.0,343.019,8098.67,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=380,380,,standard,1,0.953,4.22612,7319910.0,7213650.0,10595300.0,11755600.0,,,,,629.711,8208,,,12304,,,,,9256.22,9256.22,37913500.0,7079460.0,7319910.0,0.146355,7319910.0,0.0,382.938,8872.28,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=420,420,,standard,1,0.953,3.94211,7851240.0,7624490.0,11352900.0,12397000.0,,,,,629.711,8208,,,12304,,,,,10056.4,10056.4,41190800.0,7572560.0,7851240.0,0.147626,7851240.0,0.0,422.871,9632.49,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=460,460,,standard,1,0.953,3.70444,8370190.0,8157690.0,11994700.0,13616500.0,,,,,629.711,8208,,,12304,,,,,10844.3,10844.3,44418400.0,8059390.0,8370190.0,0.155559,8370190.0,0.0,462.777,10380.6,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=500,500,,standard,1,0.953,3.41078,9096890.0,8852680.0,13149800.0,14598600.0,,,,,629.711,8208,,,12304,,,,,11615.5,11615.5,47577200.0,8744740.0,9096890.0,0.156462,9096890.0,0.0,502.709,11111.8,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=540,540,,standard,1,0.953,3.17103,9803240.0,9566470.0,14312600.0,15487800.0,,,,,629.711,8208,,,12304,,,,,12379.6,12379.6,50706700.0,9407650.0,9803240.0,0.1514,9803240.0,0.0,542.648,11835.9,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=580,580,,standard,1,0.953,3.04065,10233400.0,9937830.0,14712900.0,16277400.0,,,,,629.711,8208,,,12304,,,,,13131.7,13131.7,53787600.0,9785050.0,10233400.0,0.162765,10233400.0,0.0,582.594,12548.1,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,Glass-NSG-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,NSG_R64_L100_SQ4U,ef=10,10,,standard,1,0.90375,129.391,90530.3,71821.4865,155344.357,481915.121,,,,,563.516,4196,,,3280996,,,,,621.279,621.279,2544760.0,87020.3,90429.3,95.7763,90429.3,5.18799,15.8712,607.07,,,,,,,800,03_system_fair,official Glass NSG SQ4U distance kernel,05c-glass-nsg-sq4u-native-odirect-v1,c6954872331b14342ffdfa2b6ca592903af41c83dc1c07c01b9ae41e978d138c,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,fa4c61b3728475ad1ff429504140c54cf5c8756ef533c1deff4b2621a16faacd,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/Glass-NSG-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,Glass-NSG
05c,agnews,Glass-NSG-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,NSG_R64_L100_SQ4U,ef=11,11,,standard,1,0.90875,135.547,82192.7,76387.624,149304.674,177120.394,,,,,563.516,4196,,,3280996,,,,,646.73,646.73,2649010.0,78800.7,82043.0,144.263,82043.0,5.39366,16.8487,631.689,,,,,,,800,03_system_fair,official Glass NSG SQ4U distance kernel,05c-glass-nsg-sq4u-native-odirect-v1,c6954872331b14342ffdfa2b6ca592903af41c83dc1c07c01b9ae41e978d138c,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,fa4c61b3728475ad1ff429504140c54cf5c8756ef533c1deff4b2621a16faacd,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/Glass-NSG-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,Glass-NSG
