layer,rows,recall_min,recall_max,qps_max,latency_mean_ms,io_wait_pct,distance_pct,prep_pct,queue_pct,rerank_pct,io_requests_mean,bytes_read_mean_mb,full4_page_reads_mean,rerank_page_reads_mean,db1_checks_mean,db1_survivors_mean,layer_display
05b,47,0.620875,0.98575,21.93499804,4768.309547728481,99.94595264411103,0.013222602497756183,0.0037406328386119965,0.032491034201723897,0.004593086350897494,1046.175771276596,4.088989777260638,965.6266489361702,0.0,3906.6593882978723,973.2690425531915,05B shared graph
05c,47,0.620875,0.98575,22.776315399,4559.44436431524,99.94206067948305,0.014155220959239195,0.003836311183142043,0.03513985096106551,0.0048079374135144405,1046.175771276596,4.088989777260638,965.6266489361702,0.0,3906.6593882978723,973.2690425531915,05C system
