layer,dataset,method,storage_mode,phase,run_id,repeat_id,workers,search_dram_budget_gib,config_id,search_param,search_width,ablation,cache_mode,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,fixed_candidate_recall_at_10,mean_relative_error,p95_relative_error,pairwise_flip_rate,index_size_mb,resident_bytes,cache_bytes,cache_nodes,peak_rss_bytes,ours_4bit_payload_bytes,ours_8bit_payload_bytes,ours_adjacency_bytes,ours_fp32_base_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_suite,source_kernel,implementation_fingerprint,native_binary_sha256,input_manifest_sha256,source_index_manifest_sha256,query_split_sha256,query_order_sha256,query_order_seed,shared_graph_sha256,source_graph_sha256,graph_role,direct_io,native_aio,page_size,formal_ready,artifact_path,method_display,layer_display
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=17,17,,standard,1,0.699,15.0237,1968700.0,1930530.0,2691690.0,3192540.0,,,,,818.461,7952,,,12048,,,,,1310.61,1310.61,5368270.0,1955060.0,1968700.0,0.145126,1968700.0,0.0,23.7625,1285.85,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=18,18,,standard,1,0.71025,14.2694,2079370.0,2037130.0,2830800.0,3284640.0,,,,,818.461,7952,,,12048,,,,,1362.29,1362.29,5579930.0,2065180.0,2079370.0,0.146784,2079370.0,0.0,24.7825,1336.51,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=19,19,,standard,1,0.719875,13.929,2134560.0,2109620.0,2968460.0,3294150.0,,,,,818.461,7952,,,12048,,,,,1408.58,1408.58,5769530.0,2119830.0,2134560.0,0.150409,2134560.0,0.0,25.7162,1381.86,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=20,20,,standard,1,0.727,13.3696,2228750.0,2187410.0,3039230.0,3455550.0,,,,,818.461,7952,,,12048,,,,,1453.53,1453.53,5953640.0,2213580.0,2228750.0,0.147556,2228750.0,0.0,26.6225,1425.9,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=21,21,,standard,1,0.73625,13.0828,2284120.0,2256300.0,3074940.0,3436430.0,,,,,818.461,7952,,,12048,,,,,1500.43,1500.43,6145760.0,2268470.0,2284120.0,0.147328,2284120.0,0.0,27.5862,1471.84,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=22,22,,standard,1,0.742625,12.503,2400230.0,2325690.0,3355530.0,3830220.0,,,,,818.461,7952,,,12048,,,,,1543.26,1543.26,6321180.0,2384140.0,2400230.0,0.149983,2400230.0,0.0,28.4688,1513.79,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=23,23,,standard,1,0.750625,12.1135,2483630.0,2443300.0,3293740.0,3848780.0,,,,,818.461,7952,,,12048,,,,,1591.09,1591.09,6517090.0,2466990.0,2483630.0,0.156853,2483630.0,0.0,29.455,1560.63,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=24,24,,standard,1,0.754875,11.8471,2525560.0,2493580.0,3326530.0,3792150.0,,,,,818.461,7952,,,12048,,,,,1634.36,1634.36,6694350.0,2508500.0,2525560.0,0.150335,2525560.0,0.0,30.3513,1603.01,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=25,25,,standard,1,0.760625,11.6474,2580810.0,2536180.0,3470440.0,3934140.0,,,,,818.461,7952,,,12048,,,,,1679.75,1679.75,6880260.0,2563290.0,2580810.0,0.14786,2580810.0,0.0,31.295,1647.46,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
05c,gist,OG-LVQ-DiskPort,hybrid_disk,test,gist_test_20260829_204245,0,32,2.0,LVQ4_R64_W400,W=26,26,,standard,1,0.767125,11.3753,2643310.0,2624470.0,3474390.0,3840350.0,,,,,818.461,7952,,,12048,,,,,1725.39,1725.39,7067180.0,2625280.0,2643310.0,0.149895,2643310.0,0.0,32.245,1692.14,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,7dd8941dcdf9a40c2444d3d84fabfc80df5e9bdf48e58404ee6acfe904091cf5,62c0a824e813255fd8caa7aa2229a5f31750cf605ab547953be7b95734d15667,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,OG-LVQ,05C system
