method,method_display,build_total_seconds,train_seconds,payload_encode_seconds,graph_build_seconds,source_file
Ours,Ours,3210.523125,0.064029,8.533171,3201.984003,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/02build/02_diskann_fair/gist/logs/Ours/gist_Ours_R64_Lbuild400.log
PQ,PQ,3008.826423,224.713927,0.0,2783.732191,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/02build/02_diskann_fair/gist/logs/PQ/gist_PQ_R64_Lbuild400.log
